y,x1,x2,x3,x4
79220 ,14010 ,98,115,15
79670 ,13260 ,98,26,8
186320 ,81240 ,96,199,19
161945 ,46260 ,96,120,19
74570 ,15510 ,95,46,12
86120 ,15810 ,93,8,16
91520 ,20760 ,92,168,17
82820 ,20010 ,90,205,12
75620 ,16260 ,90,191,15
82220 ,16260 ,88,252,12
78020 ,14760 ,88,38,12
76370 ,14010 ,87,123,16
78020 ,14760 ,86,367,12
120570 ,43740 ,85,134,20
83270 ,16260 ,85,438,8
77570 ,16860 ,85,171,8
68420 ,11460 ,85,72,12
75320 ,14010 ,85,59,15
71120 ,11460 ,83,75,8
91520 ,22260 ,81,3,16
76220 ,12510 ,81,0,12
74420 ,12510 ,81,13,12
85220 ,17760 ,79,94,12
98570 ,22500 ,74,45,16
77420 ,12810 ,74,2,12
110720 ,35010 ,74,272,12
69020 ,11460 ,72,184,8
87920 ,19260 ,71,12,16
75770 ,13710 ,69,12,12
76520 ,20010 ,68,344,8
81620 ,17010 ,68,155,8
86570 ,14760 ,67,6,15
72170 ,14760 ,67,181,12
137570 ,46260 ,66,50,18
121320 ,23010 ,65,19,16
77570 ,17010 ,64,69,12
